DATETIME,IND1679,IND1680,IND1681,IND1682,IND1683,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125,SYM157
1489131540,39.199999999999996,26.728839999999998,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131600,39.199999999999996,26.71817,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131660,39.199999999999996,26.705,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131720,39.199999999999996,26.69283,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131780,39.199999999999996,26.68449,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131840,39.199999999999996,26.682489999999998,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131900,39.199999999999996,26.673659999999998,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489131960,39.199999999999996,26.67832,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489132020,39.199999999999996,26.68199,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489132080,39.199999999999996,26.693990000000003,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489132140,39.199999999999996,26.714660000000006,35.1,35.10000000000001,35.10000000000001,,,,,,,,
1489132200,,,,,,53.0,,26.6317,-3.00167,26.7317,0.0,19.4667,
1489132260,,,,,,52.973349999999996,,26.634999999999998,-2.983335,26.7367,0.0,19.44585,
1489132320,,,,,,52.9467,,26.63915,-2.965,26.746699999999997,0.0,19.425,
1489132380,,,,,,52.92335,,26.64085,-2.9225,26.7575,0.0,19.4125,
1489132440,,,,,,52.9,,26.644199999999998,-2.88,26.7583,0.0,19.4,
1489132500,,,,,,52.9,,26.6492,-2.9225,26.759999999999998,0.0,19.385849999999998,
1489132560,,,,,,52.9,,26.652500000000003,-2.965,26.759999999999998,0.0,19.3717,
1489132620,,,,,,52.9,,26.655,-2.983335,26.762500000000003,0.0,19.33585,
1489132680,,,,,,52.9,,26.6575,-3.00167,26.76665,0.0,19.3,
1489132740,,,,,,52.88665,,26.67415,-2.983335,26.77165,0.0,19.27585,
1489132800,,,,,,52.8733,192.99,26.695,-3.00167,26.77915,0.0,19.2517,
1489132860,,,,,,52.83665,185.375,26.70085,-3.0275,26.78665,0.0,19.22585,
1489132920,,,,,,52.8,189.832,26.70335,-3.00167,26.7925,0.0,19.2,
1489132980,,,,,,52.8,190.76,26.7075,-2.983335,26.79835,0.0,19.17915,
1489133040,,,,,,52.8,183.655,26.71835,-3.00167,26.8,0.0,19.1583,
1489133100,,,,,,52.8,194.61,26.7317,-3.003335,26.810850000000002,0.0,19.1308,
