unixtime,IND1,MOD6,RES6
1488931800,,,
1488932400,,,
1488933000,1.0,158.30754100221174,0.0
1488933600,1.0,173.88590741128658,0.0
1488934200,,,
1488934800,1.0,125.96703578284752,0.0
1488935400,,,
1488936000,1.0,204.51748991503646,0.0
1488936600,1.0,290.60880975687803,0.0
1488937200,1.0,330.1118176216558,0.0
1488937800,1.0,282.2286585831956,0.0
1488938400,1.0,223.7080625566571,0.0
1488939000,1.0,187.78023999002582,0.0
1488939600,1.0,192.58695850355926,0.0
1488940200,1.0,184.01471461754693,0.0
1488940800,,,
1488941400,1.0,179.61585099816762,0.0
1488942000,1.0,126.47923108574993,0.0
1488942600,1.0,126.59800937839589,0.0
1488943200,,,
1488943800,1.0,118.97282234579399,0.0
1488944400,1.0,198.5566935736349,0.0
1488945000,1.0,173.7573875688237,0.0
1488945600,1.0,126.72695877101627,0.0
1488946200,,,
1488946800,,,
1488947400,,,
1488948000,,,
1488948600,,,
1488949200,,,
1488949800,,,
1488950400,,,
1488951000,,,
1488951600,,,
1488952200,,,
1488952800,,,
1488953400,,,
1488954000,,,
1488954600,,,
1488955200,,,
1488955800,,,
1488956400,,,
1488957000,,,
1488957600,,,
1488958200,,,
1488958800,,,
1488959400,,,
1488960000,,,
1488960600,,,
1488961200,,,
1488961800,,,
1488962400,,,
1488963000,,,
1488963600,,,
1488964200,,,
1488964800,,,
1488965400,,,
1488966000,,,
1488966600,,,
1488967200,,,
1488967800,,,
1488968400,,,
1488969000,,,
1488969600,,,
1488970200,,,
1488970800,,,
1488971400,,,
1488972000,,,
1488972600,,,
1488973200,,,
1488973800,,,
1488974400,,,
1488975000,,,
1488975600,,,
1488976200,,,
1488976800,,,
1488977400,,,
1488978000,,,
1488978600,,,
1488979200,,,
1488979800,,,
1488980400,,,
1488981000,,,
1488981600,,,
1488982200,,,
1488982800,,,
1488983400,,,
1488984000,,,
1488984600,,,
1488985200,,,
1488985800,,,
1488986400,,,
1488987000,,,
1488987600,,,
1488988200,,,
1488988800,,,
1488989400,,,
1488990000,,,
1488990600,,,
1488991200,,,
1488991800,,,
1488992400,,,
1488993000,,,
1488993600,,,
1488994200,,,
1488994800,,,
1488995400,,,
1488996000,,,
1488996600,,,
1488997200,,,
1488997800,,,
1488998400,,,
1488999000,,,
1488999600,,,
1489000200,,,
1489000800,,,
1489001400,,,
1489002000,,,
1489002600,,,
1489003200,,,
1489003800,,,
1489004400,,,
1489005000,,,
1489005600,,,
1489006200,,,
1489006800,,,
1489007400,,,
1489008000,,,
1489008600,,,
1489009200,,,
1489009800,,,
1489010400,,,
1489011000,,,
1489011600,1.0,,
1489012200,1.0,,
1489012800,1.0,,
1489013400,,,
1489014000,,,
1489014600,1.0,,
1489015200,1.0,,
1489015800,1.0,,
1489016400,1.0,,
1489017000,1.0,,
1489017600,1.0,,
1489018200,1.0,,
1489018800,,,
1489019400,1.0,,
1489020000,,,
1489020600,,,
1489021200,,,
1489021800,,,
1489022400,,,
1489023000,,,
1489023600,,,
1489024200,,,
1489024800,,,
1489025400,,,
1489026000,,,
1489026600,,,
1489027200,,,
1489027800,,,
1489028400,,,
1489029000,,,
1489029600,,,
1489030200,,,
1489030800,,,
1489031400,,,
1489032000,,,
1489032600,,,
1489033200,,,
1489033800,,,
1489034400,,,
1489035000,,,
1489035600,,,
1489036200,,,
1489036800,,,
1489037400,,,
1489038000,,,
1489038600,,,
1489039200,,,
1489039800,,,
1489040400,,,
1489041000,,,
1489041600,,,
1489042200,,,
1489042800,,,
1489043400,,,
1489044000,,,
1489044600,,,
1489045200,,,
1489045800,,,
1489046400,,,
1489047000,1.0,,
1489047600,1.0,,
1489048200,,,
1489048800,1.0,,
1489049400,1.0,,
1489050000,1.0,,
1489050600,,,
1489051200,,,
1489051800,,,
1489052400,,,
1489053000,,,
1489053600,,,
