TRAINING,VALIDATION
9.05702276684e-07,1.15047736574e-06
1.08363089176e-06,1.24302423609e-06
5.53499205965e-07,9.93886688142e-07
1.22114896788e-06,9.89200869773e-07
4.35149260193e-07,1.61119834434e-06
9.24018550331e-07,1.21149473238e-06
8.30151186043e-07,1.63576277897e-06
8.66185272477e-07,1.01498602666e-06
7.73490320943e-07,1.56566081242e-06
1.00685729773e-06,2.80333676406e-06
8.62434015223e-07,1.54479615543e-06
8.5620479134e-07,1.0556482383e-06
7.31374733021e-07,1.35839659367e-06
7.96819546852e-07,1.4150066883e-06
7.15312407175e-07,1.83838738866e-06
8.98668706163e-07,1.15221103539e-06
7.97285620816e-07,1.39717166297e-06
1.03677003771e-06,2.51109571852e-06
7.15251294282e-07,3.68212605476e-06
7.48562621483e-07,1.09657013124e-06
6.98169410943e-07,9.68421888917e-07
1.22662181385e-06,3.54116443256e-06
6.28439293556e-07,4.38131093851e-06
8.20811497352e-07,1.03213103155e-06
7.46328231176e-07,8.71863752958e-07
5.65280633453e-07,1.03401054076e-06
1.22594335551e-06,1.41764583143e-06
8.47563965305e-07,2.53177315513e-06
5.11771588426e-07,1.4753047701e-06
9.68136198477e-07,1.07024637758e-06
4.77268387395e-07,2.01425528881e-06
1.01428030569e-06,1.12649359317e-06
6.81413500593e-07,2.08957568905e-06
8.50363710091e-07,1.46537189487e-06
1.05915651055e-06,1.52944091962e-06
6.54122344373e-07,9.40620338078e-07
9.6010662836e-07,2.22142632315e-06
8.7352115586e-07,1.53957928321e-06
8.28334801628e-07,1.5449675372e-06
6.49253586944e-07,2.35174194785e-06
6.48273630157e-07,7.56819650635e-06
1.04107340313e-06,3.34670517356e-06
6.11757840939e-07,1.26729476489e-06
7.51002959071e-07,2.8064348892e-06
1.12044004172e-06,1.07672643743e-06
5.34478636037e-07,2.81294656666e-06
1.0521973291e-06,2.57169198658e-06
6.23738490375e-07,2.13032813978e-06
7.79108069659e-07,2.05823287121e-06
9.80209988782e-07,7.1843534461e-06
6.90899715505e-07,1.26492786419e-06
8.70730776401e-07,2.02984911781e-06
7.14000474081e-07,1.64271830636e-06
5.53637137773e-07,2.13344162251e-06
8.56403164183e-07,1.04146097034e-06
1.25301789864e-06,4.20000441533e-06
3.35053835545e-07,1.41630374469e-06
6.80028755602e-07,2.44524715226e-06
9.00936439853e-07,2.8645156099e-06
7.3590864058e-07,6.23568181606e-06
1.00752699183e-06,5.90576682569e-06
5.92086502732e-07,1.09259598984e-06
1.83059796272e-06,2.26685194482e-06
3.52547290204e-07,1.06205723785e-06
6.66470424865e-07,1.59754593627e-06
6.24537352285e-07,1.89747043402e-06
9.87386575603e-07,2.53630728335e-06
4.55333606947e-07,1.3022237475e-06
9.06857096728e-07,9.56588544215e-07
8.64170286139e-07,3.97088642712e-06
6.07568779675e-07,2.78680579535e-06
5.4771498484e-07,4.90277733408e-06
1.15290232119e-06,1.78442187224e-06
5.51820262086e-07,1.31978551892e-06
5.53746091471e-07,1.35349825492e-06
8.89466872356e-07,3.49103350846e-06
8.58046341743e-07,4.59830124842e-06
6.52132138232e-07,1.61550066943e-06
8.45673397751e-07,1.97776458738e-06
9.73785920047e-07,1.57212166705e-06
4.50764069747e-07,1.41891472113e-06
1.02172283599e-06,1.89178577699e-06
8.22676855795e-07,1.30283162475e-06
5.67416641988e-07,1.37428552581e-06
8.23988844623e-07,8.59512920241e-07
6.78871963713e-07,1.19393428592e-06
6.70002772102e-07,4.26295375003e-06
7.48802004557e-07,1.32289367645e-06
6.78663895431e-07,3.78947512615e-06
